state	fips	year	black_men	total_men	black_women	total_women
US	70	1981	160442	353335	7687	15437
US	70	1982	180844	396439	8766	17923
US	70	1983	191020	418084	9196	19154
US	70	1984	199692	441624	9981	20818
US	70	1985	216344	479277	10793	23099
US	70	1986	234430	518478	12403	26655
US	70	1987	249730	552133	13228	28887
US	70	1988	274570	594996	14892	32604
US	70	1989	315683	671917	19269	40646
US	70	1990	345940	730141	19269	40646
US	70	1991	371864	776550	23381	47583
US	70	1992	399775	833163	24931	50493
US	70	1993	429278	891885	27292	55061
US	70	1994	471583	990434	30089	64340
US	70	1995	510760	1057810	33245	68477
US	70	1996	530140	1105945	35409	74579
US	70	1997	553370	1161766	37084	79196
US	70	1998	577289	1214969	38817	84127
US	70	1999	597462	1270915	40528	90129
US	70	2000	597595	1321127	39505	93948
US	70	2001	597761	1306522	38757	92622
US	70	2002	599704	1332154	38327	96428
US	70	2003	604155	1366263	38306	100865
US	70	2004	608774	1389315	37866	104834
US	70	2005	613017	1419019	36502	107996
US	70	2006	625842	1451014	36860	111923
US	70	2007	638932	1479007	36837	114152
US	70	2008	642330	1485815	35943	112730
US	70	2009	644219	1498583	35038	113338
US	70	2010	635808	1490866	33721	112753
US	70	2011	630651	1485763	31995	111351
US	70	2012	605355	1440346	29394	107067
ST	60	1981	152313	326761	7018	13878
ST	60	1982	171561	368393	8055	16296
ST	60	1983	181335	387912	8435	17400
ST	60	1984	189754	409357	9133	18822
ST	60	1985	204280	441458	9791	20695
ST	60	1986	221708	476903	11261	23822
ST	60	1987	236239	506860	12078	25860
ST	60	1988	260564	548310	13582	29362
ST	60	1989	299287	617181	17573	36211
ST	60	1990	326845	667966	17573	36211
ST	60	1991	351273	710596	21245	41929
ST	60	1992	376471	759303	22472	44094
ST	60	1993	401806	809189	24595	48170
ST	60	1994	440992	902540	27232	57200
ST	60	1995	476590	964958	30360	61079
ST	60	1996	492853	1008101	32373	66879
ST	60	1997	512756	1057099	33912	70890
ST	60	1998	532938	1101114	35321	74941
ST	60	1999	548183	1145582	36759	80216
ST	60	2000	545537	1153831	35820	81140
ST	60	2001	537476	1160502	34765	81649
ST	60	2002	537173	1179860	34354	85194
ST	60	2003	538226	1204839	34311	89230
ST	60	2004	540435	1221151	33851	92670
ST	60	2005	541528	1243823	32535	95574
ST	60	2006	551997	1270943	32946	98948
ST	60	2007	562616	1292727	32965	100814
ST	60	2008	566362	1297808	32187	99457
ST	60	2009	566994	1304090	31329	99713
ST	60	2010	558078	1294644	30006	99204
ST	60	2011	552998	1283301	28435	97451
ST	60	2012	540302	1257787	26478	94510
AK	2	1981	126	972	13	47
AK	2	1982	91	1261	3	45
AK	2	1983	140	1560	7	74
AK	2	1984	151	1888	6	79
AK	2	1985	198	2207	20	122
AK	2	1986	211	2344	10	116
AK	2	1987	217	2408	11	120
AK	2	1988	271	2465	20	123
AK	2	1989	310	2583	19	161
AK	2	1990	288	2494	19	161
AK	2	1991	314	2574	25	132
AK	2	1992	327	2716	28	149
AK	2	1993	313	2581	23	122
AK	2	1994	415	3074	40	218
AK	2	1995	440	3279	41	243
AK	2	1996	486	3446	43	270
AK	2	1997	538	3861	62	304
AK	2	1998	509	3795	47	302
AK	2	1999	467	3765	45	312
AK	2	2000	474	3889	31	284
AK	2	2001	475	4212	48	359
AK	2	2002	459	4049	31	349
AK	2	2003	441	4135	29	392
AK	2	2004	454	4157	28	397
AK	2	2005	452	4347	36	465
AK	2	2006	477	4551	37	518
AK	2	2007	481	4603	50	564
AK	2	2008	465	4511	35	503
AK	2	2009	506	4696	44	589
AK	2	2010	491	4953	37	648
AK	2	2011	505	4932	47	665
AK	2	2012	472	4934	49	699
AL	1	1981	4516	7339	202	318
AL	1	1982	5324	8757	295	476
AL	1	1983	5711	9375	301	481
AL	1	1984	5978	9961	317	521
AL	1	1985	6227	10453	333	562
AL	1	1986	6657	11094	387	616
AL	1	1987	7281	12095	446	732
AL	1	1988	7244	11858	478	752
AL	1	1989	8056	13062	519	845
AL	1	1990	9282	14710	519	845
AL	1	1991	10119	15705	674	1055
AL	1	1992	10660	16352	711	1101
AL	1	1993	11450	17493	729	1131
AL	1	1994	11996	18359	771	1214
AL	1	1995	12715	19423	816	1295
AL	1	1996	13397	20403	839	1357
AL	1	1997	13784	20930	810	1360
AL	1	1998	14080	21215	825	1461
AL	1	1999	15206	23063	934	1670
AL	1	2000	14727	22156	870	1556
